Nombre,Activa,Condiciones,Destino,Dificultad,Duración,Días de salida,Fuente sheet,Horario,Incluye,Link EN,Link ES,Link PT,Moneda,NETO,Notas,Observaciones,Política menores,Precio menor,Proveedor,Ref. verificación,Tarifario web,Tipo,Validez desde,Validez hasta,photo_url,Categoría paquete
EXCURSION GRAN AVENTURA (REGULAR) - COMBINA CON PQT 05,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"81,000",NO HAY POLITICA DE MENORES,"Restringido para menores desde los 12 años, mujeres embarazadas, personas con discapacidades fisicas, etc.",No aplica,,CARACOL,IGUAZÚ > CARACOL > EXCURSION GRAN AVENTURA (REGULAR) - COMBINA CON PQT 05 | 01/01/2026 al 31/08/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"January 1, 2026","August 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,boat,river,jungle,waterfall/all?lock=52799",Upsell
EXCURSION GRAN AVENTURA (TITO) - PARA FULL DAY,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"90,000",NO HAY POLITICA DE MENORES,"Restringido para menores desde los 12 años, mujeres embarazadas, personas con discapacidades fisicas, etc.",No aplica,,CARACOL,IGUAZÚ > CARACOL > EXCURSION GRAN AVENTURA (TITO) - PARA FULL DAY | Hasta nuevo aviso,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,boat,river,jungle,waterfall/all?lock=56029",Upsell
FULL DAY IGUAZU (IN APTO + P. NACIONAL ARG + OUT APTO) - HASTA 4 PAX (PRIVADO) - TITO,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"98,000",NO HAY POLITICA DE MENORES,"Valor total por el vehiculo, hasta 4 pasajeros, no incluye guia",No aplica,,CARACOL,IGUAZÚ > CARACOL > FULL DAY IGUAZU (IN APTO + P. NACIONAL ARG + OUT APTO) - HASTA 4 PAX (PRIVADO) - TITO | Hasta nuevo aviso,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,tour,travel,outdoor/all?lock=67530",Upsell
AEROPUERTO - HOTEL CENTRO O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"12,000",No requiere minimo,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > AEROPUERTO - HOTEL CENTRO O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,city,urban,architecture/all?lock=35801",Adicional
AEROPUERTO - HOTEL V. SOFIA -DESIGN -VILLA HUINID- ALDEA ANDINA (Km 3) O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"14,000",No requiere minimo,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > AEROPUERTO - HOTEL V. SOFIA -DESIGN -VILLA HUINID- ALDEA ANDINA (Km 3) O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,tour,travel,outdoor/all?lock=73987",Adicional
AEROPUERTO - HOTEL NIDO DEL CONDOR - ELAN - EL CASCO (km 12) O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"26,000",Requiere mínimo de 2 pax.,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > AEROPUERTO - HOTEL NIDO DEL CONDOR - ELAN - EL CASCO (km 12) O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,tour,travel,outdoor/all?lock=10454",Adicional
AEROPUERTO - HOTEL LLAO LLAO / AMANCAY / TUNQUELÉN / ARELAUQUEN (km 24) O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"32,000",Requiere mínimo de 2 pax.,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > AEROPUERTO - HOTEL LLAO LLAO / AMANCAY / TUNQUELÉN / ARELAUQUEN (km 24) O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,tour,travel,outdoor/all?lock=82772",Adicional
AEROPUERTO - BASE CERRO CATEDRAL O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"32,000",Requiere mínimo de 2 pax.,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > AEROPUERTO - BASE CERRO CATEDRAL O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,ski,snow,mountain/all?lock=19301",Adicional
CENTRO - TERMINAL DE CRUCE O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"8,000",,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > CENTRO - TERMINAL DE CRUCE O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,city,urban,architecture/all?lock=78570",Adicional
CENTRO - LLAO LLAO - PUERTO PAÑUELO O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"20,000",Requiere mínimo de 2 pax.,,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > CENTRO - LLAO LLAO - PUERTO PAÑUELO O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,city,urban,architecture/all?lock=9300",Adicional
TRANSFER SKI DESDE CENTRO DE BRC O V.V,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"29,000","El Transfer ski, es desde dos puntos de encuentro céntricos (puerta hotel Nahuel Huapi - puerta hotel Edelweiss) y hasta el km8 de Av. Bustillo",,No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > Traslado > TRANSFER SKI DESDE CENTRO DE BRC O V.V,,Servicio adicional,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,ski,snow,mountain/all?lock=16093",Adicional
TIN/TOT + CIRCUITO CHICO s/a Español-Portugués,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,"Traslados en horario nocturno, contemplar un 20 % adicional sobre la tarifa. Se entiende como “Nocturno el horario comprendido entre las 21:00 Hs y las 07:00 hs”",,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"54,000",NO HAY POLITICA DE MENORES,"No incluye ascenso al Cerro Campanario | Los traslados de ingreso y salida, son desde/hasta hoteles céntricos hasta el km2 inclusive | Para las excursiones terrestres, el pick up es desde hoteles céntricos, hasta el km8",No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > TIN/TOT + CIRCUITO CHICO s/a Español-Portugués | 01.01.2026 AL 30.06.2026,,Excursión regular,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,panorama,viewpoint,landscape/all?lock=46124",Base
TIN/TOT + CIRCUITO CHICO s/a Español-Portugués,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,"Traslados en horario nocturno, contemplar un 20 % adicional sobre la tarifa. Se entiende como “Nocturno el horario comprendido entre las 21:00 Hs y las 07:00 hs”",,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"59,000",NO HAY POLITICA DE MENORES,"No incluye ascenso al Cerro Campanario | Los traslados de ingreso y salida, son desde/hasta hoteles céntricos hasta el km2 inclusive | Para las excursiones terrestres, el pick up es desde hoteles céntricos, hasta el km8",No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > TIN/TOT + CIRCUITO CHICO s/a Español-Portugués | 01.07.2026 AL 31.12.2026,,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,panorama,viewpoint,landscape/all?lock=45935",Base
TIN/TOT + CIRCUITO CHICO+ CATEDRAL s/a Español-Portugués,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,"Traslados en horario nocturno, contemplar un 20 % adicional sobre la tarifa. Se entiende como “Nocturno el horario comprendido entre las 21:00 Hs y las 07:00 hs”",,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"85,000",NO HAY POLITICA DE MENORES,"No incluye ascenso al Cerro Campanario | Los traslados de ingreso y salida, son desde/hasta hoteles céntricos hasta el km2 inclusive | Para las excursiones terrestres, el pick up es desde hoteles céntricos, hasta el km8",No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > TIN/TOT + CIRCUITO CHICO+ CATEDRAL s/a Español-Portugués | 01.01.2026 AL 30.06.2026,,Excursión regular,"January 1, 2026","June 30, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,ski,snow,mountain/all?lock=56190",Base
TIN/TOT + CIRCUITO CHICO+ CATEDRAL s/a Español-Portugués,Yes,,Bariloche,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,"Traslados en horario nocturno, contemplar un 20 % adicional sobre la tarifa. Se entiende como “Nocturno el horario comprendido entre las 21:00 Hs y las 07:00 hs”",,https://drive.google.com/drive/folders/1qUquZECwpYcfuBHFjn8o5G_mj0WyJnU9?usp=sharing,https://drive.google.com/drive/folders/1UZS2G399PiYXz5j-_JaWujaq7KdjPdgZ?usp=sharing,https://drive.google.com/drive/folders/19dPFxb-msJEFdzIQsIYFUNiy6e-68f31?usp=sharing,ARS,"90,000",NO HAY POLITICA DE MENORES,"No incluye ascenso al Cerro Campanario | Los traslados de ingreso y salida, son desde/hasta hoteles céntricos hasta el km2 inclusive | Para las excursiones terrestres, el pick up es desde hoteles céntricos, hasta el km8",No aplica,,BARILOCHE TRAVEL,BARILOCHE > BARILOCHE TRAVEL > TIN/TOT + CIRCUITO CHICO+ CATEDRAL s/a Español-Portugués | 01.07.2026 AL 31.12.2026,,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/bariloche,patagonia,argentina,ski,snow,mountain/all?lock=23128",Base
